Date,Open,High,Low,Close,Volume,Price_Change,Percentage_Change,Average_Price,Range
30/05/2024,3.33,3.36,3.31,3.32,9913413,-0.01,-0.3003003,3.335,0.05
29/05/2024,3.39,3.41,3.32,3.32,9654434,-0.07,-2.064896755,3.365,0.09
28/05/2024,3.48,3.5,3.38,3.38,16922020,-0.1,-2.873563218,3.44,0.12
27/05/2024,3.52,3.54,3.48,3.48,7963633,-0.04,-1.136363636,3.51,0.06
24/05/2024,3.5,3.55,3.5,3.52,11801280,0.02,0.571428571,3.525,0.05
23/05/2024,3.48,3.54,3.48,3.54,9445461,0.06,1.724137931,3.51,0.06
22/05/2024,3.52,3.55,3.48,3.49,6807475,-0.03,-0.852272727,3.515,0.07
21/05/2024,3.55,3.65,3.51,3.52,10778050,-0.03,-0.845070423,3.58,0.14
20/05/2024,3.51,3.58,3.49,3.58,6776758,0.07,1.994301994,3.535,0.09
17/05/2024,3.49,3.56,3.47,3.52,12689210,0.03,0.859598854,3.515,0.09
16/05/2024,3.39,3.5,3.37,3.5,15932600,0.11,3.244837758,3.435,0.13
15/05/2024,3.39,3.4,3.34,3.39,8530483,0,0,3.37,0.06
14/05/2024,3.4,3.41,3.38,3.38,6161630,-0.02,-0.588235294,3.395,0.03
13/05/2024,3.41,3.43,3.38,3.39,8367179,-0.02,-0.586510264,3.405,0.05
10/05/2024,3.43,3.43,3.38,3.39,10340490,-0.04,-1.166180758,3.405,0.05
09/05/2024,3.5,3.5,3.41,3.42,10494730,-0.08,-2.285714286,3.455,0.09
08/05/2024,3.49,3.49,3.46,3.49,7522357,0,0,3.475,0.03
07/05/2024,3.47,3.48,3.45,3.48,6804787,0.01,0.288184438,3.465,0.03
06/05/2024,3.48,3.49,3.45,3.45,6556334,-0.03,-0.862068966,3.47,0.04
03/05/2024,3.49,3.49,3.45,3.46,6854560,-0.03,-0.859598854,3.47,0.04
02/05/2024,3.49,3.5,3.47,3.47,6264582,-0.02,-0.573065903,3.485,0.03
01/05/2024,3.5,3.51,3.48,3.49,6076391,-0.01,-0.285714286,3.495,0.03
30/04/2024,3.52,3.53,3.48,3.49,7800864,-0.03,-0.852272727,3.505,0.05
29/04/2024,3.5,3.52,3.47,3.52,7740095,0.02,0.571428571,3.495,0.05
26/04/2024,3.5,3.52,3.48,3.48,8482717,-0.02,-0.571428571,3.5,0.04
25/04/2024,3.45,3.53,3.45,3.48,8119608,0.03,0.869565217,3.49,0.08
24/04/2024,3.47,3.47,3.45,3.46,8342357,-0.01,-0.288184438,3.46,0.02
23/04/2024,3.49,3.5,3.45,3.47,8668551,-0.02,-0.573065903,3.475,0.05
22/04/2024,3.47,3.5,3.46,3.47,7486926,0,0,3.48,0.04
19/04/2024,3.48,3.5,3.45,3.48,8575199,0,0,3.475,0.05
18/04/2024,3.51,3.52,3.48,3.48,11130400,-0.03,-0.854700855,3.5,0.04
17/04/2024,3.5,3.53,3.49,3.51,10386980,0.01,0.285714286,3.51,0.04
16/04/2024,3.52,3.54,3.47,3.5,11435310,-0.02,-0.568181818,3.505,0.07
15/04/2024,3.55,3.55,3.48,3.48,10859500,-0.07,-1.971830986,3.515,0.07
05/04/2024,3.56,3.57,3.52,3.57,7255862,0.01,0.280898876,3.545,0.05
04/04/2024,3.65,3.65,3.62,3.65,7976119,0,0,3.635,0.03
03/04/2024,3.66,3.66,3.63,3.64,9009607,-0.02,-0.546448087,3.645,0.03
02/04/2024,3.65,3.68,3.63,3.63,8295717,-0.02,-0.547945205,3.655,0.05
01/04/2024,3.68,3.68,3.65,3.65,5714080,-0.03,-0.815217391,3.665,0.03
29/03/2024,3.66,3.67,3.64,3.67,11328200,0.01,0.273224044,3.655,0.03
28/03/2024,3.68,3.68,3.64,3.64,6625287,-0.04,-1.086956522,3.66,0.04
27/03/2024,3.7,3.71,3.66,3.66,7622920,-0.04,-1.081081081,3.685,0.05
26/03/2024,3.7,3.73,3.69,3.69,7209446,-0.01,-0.27027027,3.71,0.04
25/03/2024,3.72,3.72,3.68,3.7,6295259,-0.02,-0.537634409,3.7,0.04
22/03/2024,3.69,3.73,3.68,3.72,5835630,0.03,0.81300813,3.705,0.05
21/03/2024,3.68,3.7,3.66,3.68,9445980,0,0,3.68,0.04
20/03/2024,3.65,3.69,3.65,3.69,14384260,0.04,1.095890411,3.67,0.04
19/03/2024,3.68,3.68,3.64,3.64,9002289,-0.04,-1.086956522,3.66,0.04
18/03/2024,3.64,3.71,3.62,3.67,9138067,0.03,0.824175824,3.665,0.09
